Cycle,CC_Duration_seconds,CV_Duration_seconds,Voltage_Slope_at_38V,Avg_Temperature_during_CCCV_Celsius,Avg_Current_during_CCCV,Avg_Voltage_during_CC,Energy_during_CCCV_VAs,SoH_at_Cycle_End
1,2033.2317591994797,2759.271859625773,8.000790316606624e-05,26.11148321581316,-0.9097478682478167,4.177681039531231,18151.428245121653,0.9918449047955691
2,2074.7592935289867,2765.5948049408034,8.094973408234035e-05,26.111726413693713,-0.9148683978671571,4.177129618930606,18432.754282428294,0.9889831947465453
3,2014.578388427748,2772.1681837834185,8.00496972328639e-05,26.102987086757242,-0.9075247864166411,4.178362252521255,18089.82125406003,0.9861628368825586
4,2067.1031563075376,2778.90692274757,8.124182223512993e-05,26.104483384633987,-0.9139557447129286,4.17761855218863,18439.27167037788,0.9833814556337992
5,2071.534400363802,2786.6150791781984,8.168120539043915e-05,26.10181252717562,-0.914484308020007,4.177710915883368,18496.9205996372,0.9806382066879378
6,2079.7865238052327,2793.9145817790995,8.231311108032255e-05,26.099451943832438,-0.9154068960627394,4.177748632972659,18575.29255775921,0.9779310341494971
7,2055.8640576678736,2801.341622875654,8.225643391125692e-05,26.094292615850637,-0.9124393709896169,4.1783414695729695,18456.204017340187,0.9752587866249848
8,2039.361677994777,2808.96665225373,8.22823007610822e-05,26.08983316851099,-0.9103388839690255,4.178796975438614,18383.012728348225,0.9726196519992217
9,2050.255636323738,2816.429993807338,8.31422871514359e-05,26.08793875396454,-0.9115674930656386,4.178780149054604,18477.606645963817,0.9700123069837835
10,2086.062421413517,2824.025056052342,8.468572705811264e-05,26.08857894144226,-0.9157293124455057,4.178306496690614,18724.730826693136,0.9674370345453128
11,2021.2013941634214,2846.7387199808145,8.480148815157365e-05,26.076077949474087,-0.907765026685345,4.179785207336968,18411.965707843752,0.9611299069686398
12,2031.5825485366513,2852.7303904787404,8.592137166096164e-05,26.074276262057605,-0.9085678678635932,4.1797921935486215,18490.413254735668,0.9586553014571022
13,2080.211716287071,2861.3464286667295,8.871024129696731e-05,26.076151202010646,-0.9141055841423884,4.179088619626268,18816.842554587525,0.9562076429751037
14,2082.2763386756415,2869.8786793032195,8.998212480779838e-05,26.07390782865329,-0.9141443474347164,4.179193020706701,18858.775892310092,0.9537858173445478
15,2067.5570463669137,2878.4398187731276,9.066861468344511e-05,26.070302675021747,-0.9122185246939274,4.1795847422528665,18798.22514529961,0.9513893279208238
16,2064.517673820548,2890.564088440675,9.213470750988467e-05,26.06809903553854,-0.912165418267926,4.179703307199023,18832.530100045577,0.9490170698639963
